value,text
56,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
57,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
58,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
59,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
60,有点吉利的数字，去打新图吧。
61,有点吉利的数字，去打新图吧。
62,有点吉利的数字，去打新图吧。
63,有点吉利的数字，去打新图吧。
64,有点吉利的数字，去打新图吧。
65,有点吉利的数字，去打新图吧。
66,有点吉利的数字，去打新图吧。
67,有点吉利的数字，去打新图吧。
68,有点吉利的数字，去打新图吧。
69,有点吉利的数字，去打新图吧。
70,有点吉利的数字，去打新图吧。
71,有点吉利的数字，去打新图吧。
72,有点吉利的数字，去打新图吧。
73,有点吉利的数字，去打新图吧。
74,或许可以打银某个酱5无冲图（
75,有点吉利的数字，去打新图吧。
76,有点吉利的数字，去打新图吧。
77,有点吉利的数字，去打新图吧。
78,有点吉利的数字，去打新图吧。
79,有点吉利的数字，去打新图吧。
80,有点吉利的数字，去打新图吧。
81,⑨⑨八十一。
82,有点吉利的数字，去打之前没打过的新图吧。
83,有点吉利的数字，去打之前没打过的新图吧。
84,有点吉利的数字，去打之前没打过的新图吧。
85,有点吉利的数字，去打之前没打过的新图吧。
86,有点吉利的数字，去打之前没打过的新图吧。
87,有点吉利的数字，去打之前没打过的新图吧。
88,有点吉利的数字，去打之前没打过的新图吧。
89,有点吉利的数字，去打之前没打过的新图吧。
90,有点吉利的数字，去打之前没打过的新图吧。
91,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
92,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
93,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
94,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
95,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
96,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
97,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
98,差点就满分了，感觉自己今天超级幸运！可以打酱5红了。
99,⑨⑨。
100,赢！居然是满分，太不可思议了，今天运气爆棚！可以打酱5爆或者百香果了。
